rid,aircraft,airport,model,wildlife_struck,impact,flight_date,damage,airline,origin,flight_phase,remains_collected_flag,Remarks,wildlife_size,sky_conditions,species,pilot_warned_flag,altitude_ft,heavy_flag
202152,Airplane,LAGUARDIA NY,B-737-400,859,Engine Shut Down,11/23/2000 0:00,Caused damage,US AIRWAYS*,New York,Climb,FALSE,"FLT 753. PILOT REPTD A HUNDRED BIRDS ON UNKN TYPE. #1 ENG WAS SHUT DOWN AND DIVERTED TO EWR. SLIGHT VIBRATION. A/C WAS OUT OF SVC FOR REPAIRS TO COWLING, FAN DUCT ACCOUSTIC PANEL. INGESTION. DENTED FAN BLADE #26 IN #1 ENG. HEAVY BLOOD STAINS ON L WINGTIP",Medium,No Cloud,Unknown bird - medium,N,"1,500",Yes
208159,Airplane,DALLAS/FORT WORTH INTL ARPT,MD-80,424,None,7/25/2001 0:00,Caused damage,AMERICAN AIRLINES,Texas,Landing Roll,FALSE,102 CARCASSES FOUND. 1 LDG LIGHT ON NOSE GEAR WAS DAMAGED AND REPLACED.,Small,Some Cloud,Rock pigeon,Y,0,No
207601,Airplane,LAKEFRONT AIRPORT,C-500,261,None,9/14/2001 0:00,No damage,BUSINESS,Louisiana,Approach,FALSE,FLEW UNDER A VERY LARGE FLOCK OF BIRDS OVER APCH END OF RWY. NO DMG. JUST A LOT OF BIRD DROPPINGS ON WINDSCREEN.,Small,No Cloud,European starling,N,50,No
215953,Airplane,SEATTLE-TACOMA INTL,B-737-400,806,Precautionary Landing,9/5/2002 0:00,No damage,ALASKA AIRLINES,Washington,Climb,TRUE,"NOTAM WARNING. 26 BIRDS HIT THE A/C, FORCING AN EMERGENCY LDG. 77 BIRDS WERE FOUND DEAD ON RWY/TWY WITH GRASSHOPPERS IN THEIR STOMACHS. SAFETY AREAS COULD NOT BE THOROUGHLY INSPCTD DURING 14 MINUTE SHUTDOWN OF RWY 34L. NO DMG. A/C OUT OF SVC 40 MINS. PHOT",Small,Some Cloud,European starling,Y,50,Yes
219878,Airplane,NORFOLK INTL,CL-RJ100/200,942,None,6/23/2003 0:00,No damage,COMAIR AIRLINES,Virginia,Approach,FALSE,NO DMG REPTD.,Small,No Cloud,European starling,N,50,No
218432,Airplane,GUAYAQUIL/S BOLIVAR,A-300,537,None,7/24/2003 0:00,No damage,AMERICAN AIRLINES,N/A,Take-off run,FALSE,NO DMG. BIRD REMAINS ON F/O WINDSCREEN.,Small,No Cloud,Unknown bird - small,N,0,No
221697,Airplane,NEW CASTLE COUNTY,LEARJET-25,227,Other,8/17/2003 0:00,Caused damage,BUSINESS,Delaware,Climb,TRUE,,Small,No Cloud,European starling,N,150,No
236635,Airplane,WASHINGTON DULLES INTL ARPT,A-320,320,Other,3/1/2006 0:00,Caused damage,UNITED AIRLINES,DC,Approach,TRUE,"WS ASSISTED IN CLEAN-UP OF 273 STARLINGS AND 1 BROWN-HEADED COWBIRD FROM RWY THRESHOLD. PHOTOS OF A/C TAKEN. BORESCOPED BOTH ENGS. FOUND DENTS AND NICKS IN STAGES 3-6. ALL WITHIN LIMITS. CLEANED RADOME, L WING, FLAPS, PYLON, GEAR AND LEADING EDGE FLAPS. R",Small,Some Cloud,European starling,Y,100,No
207369,Airplane,ATLANTA INTL,DC-9-30,9,Aborted Take-off,1/6/2000 0:00,No damage,AIRTRAN AIRWAYS,Georgia,Take-off run,FALSE,,Small,Some Cloud,Rock pigeon,N,0,No
204371,Airplane,ORLANDO SANFORD INTL AIRPORT,A-330,4,None,1/7/2000 0:00,No damage,AIRTOURS INTL,Florida,Landing Roll,FALSE,FLT 057,Small,Some Cloud,Unknown bird - small,N,0,No
201589,Airplane,ONTARIO INTL ARPT,A-320,3,None,1/8/2000 0:00,No damage,AMERICA WEST AIRLINES,California,Approach,FALSE,"FLEW THRU A FLOCK OF ABOUT 30 BIRDS. INGESTED 1. REPTS DIFFER ON  ENG STRUCK, COULD BE #1 AND/OR #2.",Small,Some Cloud,Rock pigeon,N,200,No
205958,Airplane,CHICAGO O'HARE INTL ARPT,FOKKER F100,9,None,1/20/2000 0:00,Caused damage,AMERICAN AIRLINES,Illinois,Approach,FALSE,"JUST OUTSIDE OF WILLT ON VISUAL APCH, WE FLEW THRU A FLOCK OF  GEESE. WE HIT AT LEAST 1, HEARD THE SOUND. RT WING SUFFERED  SIGNIFICANTLY MORE DMG THAN L WING. (L. SCHAFER, WS DID NOT KNOW  ABOUT THIS STRIKE). ALSO SAW EVIDENCE OF STRIKE AROUND THE R ENG",Large,No Cloud,Canada goose,N,"1,700",No
200220,Airplane,GROTON-NEW LONDON AR,C-421,2,None,1/30/2000 0:00,No damage,BUSINESS,Connecticut,Landing Roll,FALSE,,Small,Overcast,Unknown bird - small,N,0,No
200219,Airplane,SPIRIT OF ST LOUIS,C-560,2,None,1/30/2000 0:00,No damage,EXECUTIVE JET AVIATION,Missouri,Approach,FALSE,HIT FLAP,Small,Overcast,Unknown bird - small,N,"1,800",No
203756,Airplane,THEODORE FRANCIS GREEN STATE,B-737-200,5,None,1/30/2000 0:00,No damage,US AIRWAYS*,Rhode Island,Approach,FALSE,FLT 2634. PILOT STATED HE HEARD 3 SMALL HITS & DIDN'T BELIEVE  THERE WAS ANY DAMAGE.,Small,No Cloud,European starling,N,50,Yes
204061,Airplane,KANSAS CITY INTL,MD-80,5,None,2/1/2000 0:00,No damage,TRANS WORLD AIRLINES,Missouri,Approach,FALSE,"BIRD ID BY DAN, WS MO. 3/17/00.  FLT 345",Large,Some Cloud,Snow goose,Y,500,No
202604,Airplane,LIHUE ARPT,DC-9-50,9,None,2/11/2000 0:00,No damage,HAWAIIAN AIR,Hawaii,Take-off run,FALSE,FLT 138.,Small,No Cloud,Black-headed munia,Y,0,No
201044,Airplane,PHOENIX SKY HARBOR,B-737,9,None,2/12/2000 0:00,No damage,AMERICA WEST AIRLINES,Arizona,Landing Roll,FALSE,5 BIRD REMOVED FROM RWY 8L/26R AT A-2 INSN,Small,Overcast,Rock pigeon,N,0,Yes
202254,Airplane,NASHVILLE INTL,B-737-400,5,None,2/18/2000 0:00,No damage,US AIRWAYS*,Tennessee,Climb,FALSE,"SML, STARLING TYPE BIRDS HIT F/O WINDSHLD & UNDERSIDE OF RADOME",Small,Some Cloud,European starling,N,800,Yes
205346,Airplane,JIM HAMILTON L B OWENS ARPT,C-560,6,None,2/23/2000 0:00,Caused damage,BUSINESS,South Carolina,Climb,FALSE,"LE RT WING DENTED, BASEBALL SIZE.",Small,Some Cloud,Rock pigeon,N,500,No
201610,Airplane,CHICAGO O'HARE INTL ARPT,B-737-300,7,None,2/25/2000 0:00,No damage,UNITED AIRLINES,Illinois,Climb,FALSE,FLT 580 ORD-MBS,Medium,Overcast,Unknown bird - medium,N,"5,000",Yes
202454,Airplane,WASHINGTON DULLES INTL ARPT,B-737-200,7,Precautionary Landing,2/29/2000 0:00,No damage,DELTA AIR LINES,DC,Climb,FALSE,FLT 2307 INGESTED A BIRD. SMELL OF BURNING IN COCKPIT.BIRD ID BY  WS BIOL.  ONE REPT SAYS BIRD WAS STUCK IN THE FLAP. A/C LEFT 2  HRS LATER AFTER INSPN.,Medium,No Cloud,Ring-billed gull,Y,"1,500",Yes
201013,Airplane,SOUTHWEST FLORIDA INTL ARPT,B-737-400,4,None,2/29/2000 0:00,No damage,AIR TRANSAT,Florida,Landing Roll,FALSE,FLT 522,Large,Some Cloud,Sandhill crane,Y,0,Yes
205771,Airplane,ABERDEEN REGIONAL AR,SAAB-340,8,None,3/4/2000 0:00,No damage,MESABA AIRLINES,South Dakota,Climb,FALSE,HEARD 2 THUMPS. FOUND STRIKES ON POST FLT INSPN. TIME LOST 30  MINS.,Small,Some Cloud,Unknown bird - small,N,"2,000",No
202226,Airplane,NEWARK LIBERTY INTL ARPT,MD-82,5,None,3/6/2000 0:00,No damage,CONTINENTAL AIRLINES,New Jersey,Landing Roll,FALSE,"# BIRDS STRUCK NOT REPTD, ASSUME 2-10, SAME AS # SEEN.",Small,No Cloud,Unknown bird - small,Y,0,No
204404,Airplane,ASPEN-PITKIN CO/SARD,HAWKER 800,3,None,3/6/2000 0:00,No damage,EXECUTIVE JET AVIATION,Colorado,Approach,FALSE,"SAW SML FLOCK FLYING UPON LDG FLARE, ACROSS RWY. SMALL THUMP WAS  HEARD. FOUND REMAINS ON L NEG INTAKE NACELLE. IRD PARTS STREAKED  DOWN IN AND OUTSIDE OF ENG. ALSO ON MIDPOINT OF L FLAP. NO 2NDRY DMG.",Small,No Cloud,Unknown bird - small,N,20,No
202138,Airplane,ROCHESTER INTL,FOKKER F28 MK 1000,4,Precautionary Landing,3/6/2000 0:00,No damage,AMERICAN AIRLINES,Minnesota,Climb,FALSE,FLT 1788. ABOUT 20-30 BIRDS CROSSED FLT PATH JUST AFTER ROTATION  PRIOR TO GEAR RETRACT. NOTIFIED TWR OF INTENTION TO RET TO RST.  NO PROBLEMS OR DMG INDICATED. A LOUD HTUMP WAS HEARD OVERHEAD ON  FUSELAGE. POST FLT FOUND REMAINS ON UPPER FUSELAGE AFT OF,Small,No Cloud,Unknown bird - small,N,200,No
201983,Airplane,MINNEAPOLIS-ST PAUL INTL,B-757-200,4,None,3/7/2000 0:00,No damage,NORTHWEST AIRLINES,Minnesota,Approach,FALSE,,Small,Overcast,Unknown bird - small,N,75,Yes
200247,Airplane,PUEBLO MEMORIAL ARPT,HAWKER 800,5,None,3/11/2000 0:00,No damage,BUSINESS,Colorado,Approach,FALSE,PILOT SAW ABOUT 30 BIRDS WHILE FLARING OUT. HEARD A COUPLE OF  POPS. 1 DEAD MEADOWLARK WAS FOUND ON RWY.,Small,No Cloud,Western meadowlark,N,10,No
201387,Airplane,WESTCHESTER COUNTY ARPT,EMB-135,5,None,3/13/2000 0:00,No damage,CONTINENTAL AIRLINES,New York,Climb,FALSE,2 BIRD HIT. CONTD TO KCLE. UNKN WHAT PART WAS STRUCK.,Medium,No Cloud,Ring-billed gull,Y,10,No
200542,Airplane,BIRMINGHAM-SHUTTLESWORTH INTL,DC-9-40,6,None,3/13/2000 0:00,No damage,ABX AIR,Alabama,Descent,FALSE,HIT BIRDS BETWEEN 4000-6000 FT DURING DESCENT. FOUND 3 DIFFERENT  BLOOD STAINS ON RT WING AND FEATHERS ON #2 ENG INTAKE AND ON  STARTER.INSPN FOUND NO DMG.  (REPORTS DIFFER AS TO DATE OF STRIKE  3/13 OR 3/14),Small,No Cloud,Unknown bird - small,N,"5,000",No
202076,Airplane,ATLANTA INTL,DC-9-30,8,None,3/14/2000 0:00,No damage,AIRTRAN AIRWAYS,Georgia,Approach,FALSE,"BIRDS HIT BOTH MAIN GEAR, L WING & LWR FUSELAGE. DEBRIS FROM L  WING ENTERED #1 ENG BUT NO ABNORMAL INDICATIONS NOTED.",Medium,No Cloud,Mallard,N,"1,000",No
204836,Airplane,LAGUARDIA NY,B-727-200,10,None,3/15/2000 0:00,Caused damage,DELTA AIR LINES,New York,Approach,FALSE,"SAW FLASH IN LIGHTS ON RT SIDE, FOLLOWED BY LOUD THUMP. ALL A/C INDICATIONS NORMAL. DAMAGE FOUND ON POST FLT INSPN. TO RT OTBD LIGHTS, WING, FUSELAGE AND ANTENNA.",Medium,No Cloud,Unknown bird - medium,N,"1,300",No
203390,Airplane,TAHITI FAAA,DC-10-30,7,None,3/15/2000 0:00,Caused damage,HAWAIIAN AIR,N/A,Landing Roll,FALSE,SEABIRD HIT F/O WINDSHLD AS NOSE CONTACTED RWY. ALSO F/O WIP. UNSEEN BIRDS STRUCK & DESTROYED UPPER ROTATING BEACON. #2 ENG ALSO INGESTED FOD CAUSING BLADE DAMAGE.,Medium,Some Cloud,Unknown bird - medium,N,0,Yes
