rid,aircraft,airport,model,wildlife_struck,impact,flight_date,damage,airline,origin,flight_phase,remains_collected_flag,Remarks,wildlife_size,sky_conditions,species,pilot_warned_flag,altitude_ft,heavy_flag
1,Airplane,INDIANAPOLIS INTL,B-757-200,2,None,6/21/2000 0:00,No damage,AMERICA WEST AIRLINES,Indiana,Landing Roll,FALSE,,Small,Some Cloud,American kestrel,Y,0,Yes
2,Airplane,FORT SMITH MUNICIPAL ARPT,C-172,10,Precautionary Landing,6/28/2000 0:00,Caused damage,BUSINESS,Mississippi,Climb,FALSE,SAW FLOCK OF 15-20 BIRDS IN TIGHT GROUPING. HIT AT LEAST 2. ONE DENTED THE L ENG NACELLE AND WAS INGESTED. SMELL OF BIRD NOTICED. FEATHERS IN ENG. ALSO FEATHERS ON LF MAIN GEAR. GARRETT COMING TO INSPECT DMG.,Medium,No Cloud,Unknown bird - medium,N,20,No
3,Airplane,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,BE-1900,10,None,6/25/2000 0:00,No damage,EXPRESSJET (CONTINENTAL EXPRS),Kentucky,Landing Roll,FALSE,,Small,Some Cloud,European starling,Y,0,No
4,Airplane,MCCARREN INTL,B-727,8,None,6/26/2000 0:00,No damage,ATA AIRLINES,Nevada,Climb,FALSE,FLT 142. PILOT REPTD STRIKING 2 BIRDS. A/C CHECKED OUT OKAY. FLT CONTD OUT OF L30 AIRSPACE W/O INCIDENT. RDO NOTIFIED.,Medium,Overcast,Unknown bird - medium,N,"5,100",No
5,Airplane,ATLANTA INTL,BA-31 JETSTR,5,Aborted Take-off,6/30/2000 0:00,No damage,CAPE AIR,Florida,Take-off run,FALSE,2 BIRDS HIT LE L WING. RETD TO APROM TO INSPCT A/C. TIME LOST ABOUT 30 MINS.,Small,Some Cloud,Killdeer,Y,0,No
6,Airplane,HESLER-NOBLE FIELD ARPT,LEARJET-31,3,None,6/25/2000 0:00,No damage,BUSINESS,Arkansas,Approach,FALSE,2 birds,Small,No Cloud,Unknown bird - small,N,100,No
7,Airplane,CHICAGO OHARE INTL ARPT,CL-RJ100/200,5,Aborted Take-off,6/29/2000 0:00,No damage,AIR WISCONSIN AIRLINES,Illinois,Take-off run,FALSE,,Small,No Cloud,Unknown bird - small,Y,0,No
8,Airplane,SOUTHWEST FLORIDA INTL ARPT,C-402,6,None,6/27/2000 0:00,Caused damage,BUSINESS,Georgia,Landing Roll,FALSE,2 BIRDS. INGESTION BENT COMPRESSOR BLADES.,Medium,Some Cloud,Unknown bird - medium,N,0,No
9,Airplane,DALLAS FW,CL-RJ100/200,3,None,6/30/2000 0:00,No damage,INDIGO,Texas,Take-off run,FALSE,2 BIRDS HIT LE L WING. RETD TO APROM TO INSPCT A/C. TIME LOST ABOUT 30 MINS.,Small,No Cloud,Killdeer,Y,20,No
10,Airplane,Los Angeles,None,2,None,6/26/2000 0:00,No damage,JET BLUE,California,Landing Roll,FALSE,FLT 142. PILOT REPTD STRIKING 2 BIRDS. A/C CHECKED OUT OKAY. FLT CONTD OUT OF L30 AIRSPACE W/O INCIDENT. RDO NOTIFIED.,Small,Some Cloud,Killdeer,Y,100,No
